date,predicted_accidents,lower_ci,upper_ci
2025-08-12,,-6549.235601324966,11848.982898498922
2025-08-13,,-6605.1454339264465,11795.849291604678
2025-08-14,,-6575.899121887276,11826.609040685431
2025-08-15,,-6525.81934427554,11876.943866849233
2025-08-16,,-6568.505453507361,11835.493619491557
2025-08-17,,-6596.129623541886,11809.939328016779
2025-08-18,,-6545.02012233301,11861.483556913672
2025-08-19,,-6546.8953458134765,11860.149282686913
2025-08-20,,-6601.130043514922,11808.33401555574
2025-08-21,,-6573.531835293596,11837.2365729436
2025-08-22,,-6525.102172724639,11885.86080879903
2025-08-23,,-6566.279120952111,11845.745012317091
2025-08-24,,-6593.235475388761,11820.623451059078
2025-08-25,,-6543.448223860909,11870.76745507685
2025-08-26,,-6544.518033876377,11870.131979345466
2025-08-27,,-6597.135255068959,11819.625638448517
2025-08-28,,-6571.092792508192,11846.793792574092
2025-08-29,,-6524.231822465863,11893.80141535906
2025-08-30,,-6563.940587017041,11855.003409479788
2025-08-31,,-6590.263084235376,11830.308811074567
2025-09-01,,-6541.80324617885,11879.060741547888
2025-09-02,,-6542.144619242039,11879.066380331604
2025-09-03,,-6593.198136485663,11829.856611693234
2025-09-04,,-6568.6248716799855,11855.402746102776
2025-09-05,,-6523.25774853153,11900.878828151563
2025-09-06,,-6561.539233919304,11863.378670158267
2025-09-07,,-6587.257988405443,11839.10560646246
2025-09-08,,-6540.124837781521,11886.477322895382
2025-09-09,,-6539.806939318877,11887.070923138694
2025-09-10,,-6589.347159985621,11839.142919049758
2025-09-11,,-6566.161967816264,11863.170115037468
2025-09-12,,-6522.2197714643335,11907.191878115591
2025-09-13,,-6559.114675863808,11870.966937916082
2025-09-14,,-6584.256441207277,11847.110283125274
2025-09-15,,-6538.444236588322,11893.116824591605
2025-09-16,,-6537.52934137687,11894.249382131915
2025-09-17,,-6585.603744515985,11847.586296629
2025-09-18,,-6563.730554144093,11870.189302255892
2025-09-19,,-6521.1497032342595,11912.827040069908
2025-09-20,,-6556.69840283323,11877.852513664457
2025-09-21,,-6581.2869963467365,11854.40740799971
2025-09-22,,-6536.78574394652,11899.066522441546
2025-09-23,,-6535.330038218825,11900.692831213099
2025-09-24,,-6581.983541494214,11855.276135431523
2025-09-25,,-6561.350988173635,11876.542218570183
2025-09-26,,-6520.072712068444,11917.86010434868
2025-09-27,,-6554.315161523965,11884.109456403508
2025-09-28,,-6578.371837422765,11861.071271081859
2025-09-29,,-6535.167956580775,11904.40299681509
2025-09-30,,-6533.2222377053495,11906.481327509422
2025-10-01,,-6578.49750590732,11862.291114131933
2025-10-02,,-6559.038603716413,11882.300814658036
2025-10-03,,-6519.008467825532,11922.357608463046
2025-10-04,,-6551.984115174509,11889.802953276918
2025-10-05,,-6575.527892412716,11867.16725726657
2025-10-06,,-6533.604795655377,11909.193551489909
2025-10-07,,-6531.2150830788905,11911.68535777537
2025-10-08,,-6575.152787779849,11868.70060225999
2025-10-09,,-6556.804623313217,11887.528396385887
2025-10-10,,-6517.972102759233,11926.378064889459
2025-10-11,,-6549.719817254883,11894.990493819032
2025-10-12,,-6572.767767384887,11872.753022713214
2025-10-13,,-6532.106365670825,11913.497432277738
2025-10-14,,-6529.314434914009,11916.367082639317
2025-10-15,,-6571.9534732442025,11874.565867650208
2025-10-16,,-6554.6569199031865,11892.280755595915
2025-10-17,,-6516.975016890505,11929.973015396423
2025-10-18,,-6547.533028362568,11899.72287775068
2025-10-19,,-6570.100528146059,11877.879504966499
2025-10-20,,-6530.679670581529,11917.366875093907
2025-10-21,,-6527.523520460794,11920.581408368094
2025-10-22,,-6568.901199661492,11879.941116797067
2025-10-23,,-6552.600651898583,11896.607143463798
2025-10-24,,-6516.0255525311795,11933.187937582541
2025-10-25,,-6545.4314009912105,11904.045081083032
2025-10-26,,-6567.532353931119,11882.591791493147
2025-10-27,,-6529.329210088319,11920.848008531124
2025-10-28,,-6525.843471947643,11924.376911262265
2025-10-29,,-6565.995665265522,11884.874392373678
2025-10-30,,-6550.638791945723,11900.551109380769
2025-10-31,,-6515.129558601068,11936.063025337437
2025-11-01,,-6543.420052932708,11907.99700144954
2025-11-02,,-6565.067083405198,11886.92986748012
2025-11-03,,-6528.057475369053,11923.981632153329
2025-11-04,,-6524.273771915117,11927.796635974692
2025-11-05,,-6563.235050492178,11889.408348497996
2025-11-06,,-6548.772566410364,11904.151224828496
2025-11-07,,-6514.290862119883,11938.633861618167
2025-11-08,,-6541.50204680547,11911.614100371362
2025-11-09,,-6562.706670039221,11890.929260542849
2025-11-10,,-6526.865360426886,11926.803888497712
2025-11-11,,-6522.812620736598,11930.878785834047
2025-11-12,,-6560.616365392452,11893.580921239569
2025-11-13,,-6547.001819914679,11907.441708784267
2025-11-14,,-6513.5116615220395,11940.931999144184
2025-11-15,,-6539.678790460983,11914.927957462356
2025-11-16,,-6560.451561231432,11894.62159730824
2025-11-17,,-6525.752502658123,11929.34684406123
2025-11-18,,-6521.457239045874,11933.657320552487
2025-11-19,,-6558.135735217263,11897.425909255406
2025-11-20,,-6545.325316981231,11910.452968723494
2025-11-21,,-6512.792854148624,11942.9854622659
2025-11-22,,-6537.950370718563,11917.966749309426
2025-11-23,,-6558.301013289645,11898.035084577656
2025-11-24,,-6524.717564079279,11931.638992260987
2025-11-25,,-6520.204115751418,11936.162474414316
2025-11-26,,-6555.788634325744,11900.973477241638
2025-11-27,,-6543.740990931941,11913.212069199288
2025-11-28,,-6512.134308341351,11944.819181280738
2025-11-29,,-6536.315830941185,11920.755663850443
2025-11-30,,-6556.253352491452,11901.194925870877
2025-12-01,,-6523.758462839774,11933.705689428767
2025-12-02,,-6519.049210608138,11938.421206114495
2025-12-03,,-6553.570076945483,11904.25059302545
2025-12-04,,-6542.246148587895,11915.743138213675
2025-12-05,,-6511.535088938745,11946.45536879617
2025-12-06,,-6534.77340133249,11923.317259455778
2025-12-07,,-6554.306190841502,11904.123682543011
2025-12-08,,-6522.872563121133,11935.56953326685
2025-12-09,,-6517.988118881001,11940.457589780735
2025-12-10,,-6551.474771949499,11907.281407542472
2025-12-11,,-6540.837637966932,11918.067720098534
2025-12-12,,-6510.993643605412,11947.913846322517
2025-12-13,,-6533.320689458511,11925.671776553578
2025-12-14,,-6552.456603798713,11906.841587305946
2025-12-15,,-6522.05683024194,11937.250691810686
2025-12-16,,-6517.016204430612,11942.293155328534
2025-12-17,,-6549.497247669029,11910.087585604628
2025-12-18,,-6539.511985040432,11920.205082354836
2025-12-19,,-6510.507956269077,11949.212328076883
2025-12-20,,-6531.954837334753,11927.837408481879
2025-12-21,,-6550.701276110397,11909.366816833553
2025-12-22,,-6521.307956707267,11938.76718977086
2025-12-23,,-6516.128706535579,11943.947185119941
2025-12-24,,-6547.631951797113,11912.6885942238
2025-12-25,,-6538.265504653744,11922.172482820348
2025-12-26,,-6510.075672964651,11950.366667961212
2025-12-27,,-6530.6726504366925,11929.83053726986
2025-12-28,,-6549.036620930875,11911.715729151943
2025-12-29,,-6520.622464031622,11940.13515813118
2025-12-30,,-6515.320824914823,11945.43697289687
2025-12-31,,-6545.873330627087,11915.101954287395
